ID	PALABRA	NOTAS TRADUCTOR	ORACION EN CUICATECO	ORACION EN ESPAÑOL	NOTAS ORIGINAL	ESPAÑOL ORIGINAL		
1.			Ba'a kun cheatea	Esta casa es grande.		Esta casa es grande.	Traducidas:	464
			Ba'a kun gua cheatea	Esta casa no es grande.	a	Esta casa no es grande.	Totales:	852
			Ba'a kun lï	Esta casa es chica.	b	Esta casa es chica.		
			ba'a kun gua lï	Esta casa no es chica.	c	Esta casa no es chica.		
			Ba'a kun já	Esta casa es nueva.	d	Esta casa es nueva.		
			Ba'a kun gua já	Esta casa no es nueva	e	Esta casa no es nueva		
			Ba'a kun niku	Esta casa es vieja.	f	Esta casa es vieja.		
			Ba'a kun gua niku	Esta casa no es vieja.	g	Esta casa no es vieja.		
			Ba'a kun kuea	Esta casa es blanca.	h	Esta casa es blanca.		
			Ba'a kun gua kuea	Esta casa no es blanca.	i	Esta casa no es blanca.		
2.			¿A taka ba'a mi?	¿Cómo es esa casa?		¿Cómo es esa casa?		
3.			¿A cheatea ba'a mi?	¿Es grande esa casa?		¿Qué tan grande es esa casa?		
4.			¿A já ba'a mi?	¿Es nueva esa casa?		¿Es nueva esa casa?		
5.			Tika, já	Sí, es nueva.		Sí, es nueva.		
			Jú, já	Sí, es nueva.		Sí, es nueva.		
6.			Gua, gua já	No, no es nueva.		No, no es nueva.		
7.			Tika	Sí.  		Sí.		
			Jú	Sí.  		Sí.		
			Gua	No.		No.		
8.			Un yaku	Yo soy alto.		Yo soy alto.		
			Ú yaku	Yo soy alto.		Yo soy alto.		
			Dín yakud	Tú eres alto. 		Tú eres alto.		
			Intin yakun	Usted es alto.		Usted es alto.		
			Sakó yakus.	El es alto.  		El es alto.		
			Takó yakuta	Ella es alta.		Ella es alta.		
			 'Uu yaku'uu	Nosotros somos altos.	(exclusivo)	Nosotros somos altos. (exclusivo)		
			 'Uu yaku'uu	Nosotros somos altos.	(inclusivo)	Nosotros somos altos. (inclusivo)		
			Insën yakun	Ustedes son altos		Ustedes son altos		
			Iñsé yakuy	Ellos son altos.		Ellos son altos.		
			Ú iyú	Yo soy chaparro.		Yo soy chaparro.		
			Un iyú	Yo soy chaparro.		Yo soy chaparro.		
			Dín iyúd	Tú eres chaparro.		Tú eres chaparro.		
			Sakó iyús	El es chaparro.		El es chaparro.		
			 'Uu iyú'uu	Nosotros somos chaparros.	(exclusivo)	Nosotros somos chaparros. (exclusivo)		
			 'Uu iyú'uu	Nosotros somos chaparros.	(inclusivo)	Nosotros somos chaparros. (inclusivo)		
			Insën iyún	Ustedes son chaparros.		Ustedes son chaparros.		
			Iñsé iyún 	Ellos son chaparros.		Ellos son chaparros.		
			Un rú'u	Yo soy gordo.		Yo soy gordo.		
			Ú rú'u	Yo soy gordo.		Yo soy gordo.		
			Un bícha	Yo soy gordo.		Yo soy gordo.		
			Ú bícha	Yo soy gordo.		Yo soy gordo.		
	rú'u		Dí rú'u*	Tú eres gordo		Tú eres gordo		
	rú'u		Din rú'u	Tú eres gordo		Tú eres gordo		
	bícha		Dí bíchad	Tú eres gordo		Tú eres gordo		
	bícha		Din bíchad	Tú eres gordo		Tú eres gordo		
	rú'u		Sakó rú'us	El es gordo		El es gordo		
	rú'u		Sakón rú'us	El es gordo		El es gordo		
	bícha		Sakó bíchas	El es gordo		El es gordo		
	bícha		Sakón bíchas	El es gordo		El es gordo		
	rú'u	('Uu= se utiliza en la conversación cuando hablan solo los que están incluidos en el adjetivo) 	 'Uu rú'uu	Nosotros somos gordos.	(exclusivo)	Nosotros somos gordos. (exclusivo)		
	bícha		Uu bícha'uu	Nosotros somos gordos.	(inclusivo)	Nosotros somos gordos. (inclusivo)		
	rú'u		Insën rú'un	Ustedes son gordos.		Ustedes son gordos.		
	bícha		Insën bíchan	Ustedes son gordos.		Ustedes son gordos.		
	rú'u		Iñsén rú'un	Ellos son gordos.		Ellos son gordos.		
	bícha		Iñsén bíchan	Ellos son gordos.		Ellos son gordos.		
			Un kúë	Yo soy flaco.		Yo soy flaco.		
			Ú kúë	Yo soy flaco.		Yo soy flaco.		
			Dí kúëd	Tu eres flaco.		Tu eres flaco.		
			Dín kúëd	Tu eres flaco.		Tu eres flaco.		
			Sakó kúës	El es flaco.		El es flaco.		
				Nosotros somos flacos.	(exclusivo)	Nosotros somos flacos. (exclusivo)		
		(Insú= se utiliza para responder al alguien que no está incluido en el adjetivo)	Insú kúën	Nosotros somos flacos.	(inclusivo)	Nosotros somos flacos. (inclusivo)		
				Ellos son flacos.		Ellos son flacos.		
9.			Bakun cheatea	Mi casa es grande.		Mi casa es grande.		
			Bakud cheatea	Tu casa es grande.		Tu casa es grande.		
			Baku sakón cheatea	La casa de él es grande.		La casa de él es grande.		
			Baku'uu cheatea	Nuestra casa es grande.	(exclusivo)	Nuestra casa es grande. (exclusivo)		
				Nuestra casa es grande.	(inclusivo)	Nuestra casa es grande. (inclusivo)		
			Baku insén cheatea	La casa de ustedes es grande.		La casa de ustedes es grande.		
		(no es plural)	Yudú ñe'ë cheatea	Mis metates son grandes.		Mis metates son grandes.		
		(no es plural)	Yudú ñe'ed cheatea	Tus metates son grandes. 		Tus metates son grandes.		
				Los metates de ella son grandes		Los metates de ella son grandes		
				Nuestros metates son grandes.	(exclusivo)	Nuestros metates (exclusivo) son grandes.		
				Nuestros metates son grandes.	(inclusivo)	Nuestros metates (inclusivo) son grandes.		
				Los metates de ellos son grandes.		Los metates de ellos son grandes.		
10.			Íyaan kuo'o	El chile es rojo.		El chile es rojo.		
11.			Íyaam na kuo'o	Los chiles ya están rojos.		Los chiles ya están rojos.		
12.			Íyaam nikua kuo'o	Los chiles todavía no están rojos.		Los chiles todavía no están rojos.		
13.			Tio'ö kun cheatea	Este árbol es grande 		El árbol es grande.		
14.			Tio'ö kun kub cheatea	Este árbol va a ser grande 		El árbol va a ser grande.		
15.			Tio'ö kun na cheatea	Este árbol ya es grande 	(cuando vinimos aquí).	Ese árbol ya era grande (cuando vinimos aquí).		
16.			Tio'ö min na chi cheatea	Ese árbol se volvió grande.		Ese árbol se volvió grande.		
17.				Los chiles se van a volver rojos.		Los chiles se van a volver rojos.		
18.			Sï kun dama nuku ñe'ed	Este sombrero es igual al tuyo.		Este sombrero es igual al tuyo.		
			Sï kun gua dama kunu ñe'ed 	Este sombrero no es igual al tuyo.		Este sombrero no es igual al tuyo.		
19.			Sï sen gua dama	Estos sombreros no son iguales		Estos sombreros son diferentes.		
20.			¿Dae color yada mi?	¿De qué color es esa falda?		¿De qué color es esa falda?		
21.			Yada min kuea nuku kuä 	Esa falda es blanca y negra.		Esa falda es blanca y negra.		
22.			¿yúduu ñe'ed a kuät o kueat?	¿Tu caballo es negro o blanco?		¿Tu caballo es negro o blanco?		
23.				Mi caaballo no es niegro ni blanco, es bayo.		Mi caaballo no es niegro ni blanco, es bayo.		
24.			¿A nda je'é kantu*?	¿Está rico el caldo?		¿Cómo está la comida?		
25.			Inuu comida	La comida está caliente.		La comida está caliente.		
			Icha comida	La comida está fría.		La comida está fría.		
26.			yeabean icha nuni	El agua está muy fría.		El agua está muy fría.		
				El agua está bastante fría.		El agua está bastante fría.		
				El agua está demasiado fría.		El agua está demasiado fría.		
27.			Kutu min ñá	Esa olla está sucia.		Esa olla está sucia.		
			kutu min gua ñá	Esa olla no está sucia		Esa olla no está sucia		
			kutu min deabea	Esa olla está limpia.		Esa olla está limpia.		
			kutu min gua deabea	Esa olla no está limpia.		Esa olla no está limpia.		
28.			Ñoo min nìnuu nuku mu'u	Ese pueblo está cerca de aquí 		El pueblo está cerca de aquí.		
