Palabra	Lema	POS	Feats	Significado	Glosa	1267	925	1060
a	a	ADV		ya				
a	a	PART			QST			
áa		VERB		resuena				
alberja		NOUN		chícharo				
ama		NUM	NumType=Card	uno				
baʼa		NOUN		casa				
baku		NOUN		casa				
nbaku		NOUN		casa				
bakuu		NOUN		cárcel				
bakú		NOUN		cárcel				
beâ		NOUN		naranja				
bea		VERB		hay	?-existir-3SG			
bea				sentado				
beaku				elegante				
beanete		NOUN		limón				
beanu		NOUN		epazote				
bedbêe				envidia				
bede		NOUN		español				
bedinuu		NOUN		milagro				
bee		NOUN		oreja				
bee				ciego				
bëe		NOUN		orilla				
biʼi		NOUN		hermano(a)				
bíchaa				gordo				
bichñoʼö		NOUN		carpintero				
biidi		NOUN		pasle				
bíku		NOUN		fiesta				
bíni		NOUN		charco				
bítuu		NOUN		viga				
boʼo		NOUN		miedo				
chakun		NOUN		mi mamá				
chakud		NOUN		tu mamá	mamá-POSS.2SG			
chaku		NOUN		mi mamá				
cheʼed		VERB		come				
chea		DET	PronType=Int	cuál				
chéa		NOUN		comal				
chéanu		VERB		gusté	?-gustar-1SG			
cheanu		VERB		corrió				
cheanu		NOUN		cuñada				
cheanú		VERB		sufrí	?-sufrir-1SG			
cheanuu		VERB	VerbForm=Stat	largo				
cheatea		VERB	VerbForm=Stat	grande				
chéatu				sordo				
chebä				comer,comida				
chebinu		VERB		cenar				
cheede		NOUN		carga				
cheene		NOUN		soplador				
cheete		NOUN		estómago				
cheutumañ		VERB	VerbForm=Fin	rodear	?-rodear-3SG.HUM			
chï				eso				
chíbat		NOUN		telaraña				
chibatu		NOUN		chivo				
chichi		VERB	VerbForm=Fin	se quemó	?-quemarse-?			
chíchi				apretado				
chídi		NOUN		garrapata				
chidúbi		NOUN		cucaracha				
chiíta		VERB	VerbForm=Fin	creció	?-crecer-?			
chíka		VERB	VerbForm=Fin	corté	?-cortar-?			
chikuʼu		NOUN		abuela				
chikudaya		NOUN		comadre				
chindiyaa				asustó				
chini		VERB	VerbForm=Fin	tronar	?-tronar-?			
chíní		NOUN		frijolar				
chìní		NOUN		hígado				
chinti		NOUN		boca				
chinyadi				chismoso				
chita		NOUN		olla				
chiya		NOUN		lengua				
chó				aquello				
chóʼoo		VERB		pasó				
chunti								
chúnti		NOUN		grillo				
clinika	clínica	NOUN		clínica				
daday		NOUN		su yerno	yerno-POSS.3SG.HUM			
dada		NOUN		yerno, cuñado				
daku		NOUN		sobrino				
dama				igual				
dankubi		NOUN		llovizna				
danti				flojera				
dantu		NOUN		cuello				
danu				raro				
