Palabra	Lema	POS	Feats	Significado	Glosa	1301	822	999
a		ADV		ya				
a		PART			QST			
aa		VERB	VerbForm=Fin	canta	?-cantar-?			
acha	acha	NOUN		hacha				
adeea								
alberga		NOUN		chícharo				
alberja		NOUN		chícharo				
ama		NUM	NumType=Card	uno				
amtea				no hay				
at								
ay				llama				
ba'a		NOUN		casa				
baa								
baku		NOUN		casa				
bakun		NOUN		mi casa				
bakuu		NOUN		cárcel				
bakñoo		NOUN		municipio				
bakú		NOUN		cárcel				
bayaka		NOUN		coscomate				
bañeʼë		NOUN		mi casa	casa#base-POSS.SG1			
baʼa		NOUN		casa				
bea				hay				
bea				sentado				
beaku				elegante				
beanete		NOUN		limón				
beanu		NOUN		epazote				
beat								
beaye								
bed								
bedbêe				envidia				
bede				español				
bedeanu								
bedinuu		NOUN		milagro				
bedyeno				estar de fiesta				
bee				ciego				
beede		NOUN		español				
beeye		NOUN		nixtamal				
bemoñoʼo								
bet								
beta								
betee		NOUN		tamal				
beâ		NOUN		naranja				
bi'i				hermano(a)				
bichas				está gordo				
bichi		NOUN		gato				
bichñoʼö		NOUN		carpintero				
bii								
biidi				pasle				
binkuinuu								
bií								
biʼi		NOUN		mi hermano				
biʼin								
bokioo		NOUN		municipio				
booy								
boʼo		NOUN		miedo				
boʼos				su miedo	miedo-POSS.3SG.MSC			
bèè								
bèèya		NOUN		nixtamal				
bèèye		NOUN		nixtamal				
bée				malo(a)				
bëe		NOUN		orilla				
bëeñ								
bíchaa				gordo				
bíku		NOUN		fiesta				
bílu		NOUN		gato				
bíni		NOUN		charco				
bítuu		NOUN		viga				
cantu								
chaku		NOUN		mi mamá				
chakud		NOUN		tu mamá	mamá-POSS.2SG			
chakun		NOUN		mi mamá				
che'ed		VERB		come				
che'ë		VERB		fui				
chea			PronType=Int	cuál				
cheanu		VERB		corrió				
cheanu		NOUN		cuñada				
cheanun		NOUN		mi cuñada				
cheanuu				largo				
cheanú				sufrir				
cheate				grande				
cheatea				grande				
cheatu		VERB	VerbForm=Fin	quebré	?-quebrar-1SG			
cheatuy				sordo				
chebinu		VERB		cenar				
chebá				comida,comer				
chebä				comer,comida				
chebäa				comer				
chedee		NOUN		carga				
chee		VERB	VerbForm=Fin	comer	?-comer-1SG			
cheebinuy		VERB	VerbForm=Fin	va a cenar	?-cenar-3SG.HUM			
cheed	cheʼe	VERB	VerbForm=Fin	come	?-comer-2SG			
cheede		NOUN		carga				
cheene		NOUN		soplador				
cheeta	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.FEM			
cheete		NOUN		estómago				
chenet		VERB	VerbForm=Fin	morder	?-morder-?			
chenu								
chete		NOUN		estómago				
cheutumañ		VERB	VerbForm=Fin	rodear	?-rodear-SG3.HUM			
cheé								
cheéd		VERB	VerbForm=Fin	comes	?-comer-2SG			
cheés	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.MSC			
cheʼe	cheʼe	VERB	VerbForm=Fin	como	?-comer-1SG			
cheʼed	kaʼan	VERB	VerbForm=Fin	fuiste	COM-ir-2SG			
cheʼes	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.MSC			
cheʼet	cheʼe	VERB	VerbForm=Fin	comio	?-comer-3SG			
cheʼey	cheʼe	VERB	VerbForm=Fin	come	?-comer-3SG.HUM			
cheʼeñ	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-?			
cheʼéy	kaʼan	VERB	VerbForm=Fin	fue	COM-ir-3SG.HUM			
